,,,amu,g/cm3,K,K,Pauling
Sym,Name,Atomic Number,Mass,Density,Tmelt,Tboil,Electroneg
H,Hydrogen,1,1.008,0.00008988,14.01,20.28,2.2
He,Helium,2,4.002602,0.0001785,0.956,4.22,0
Li,Lithium,3,6.942,0.534,453.69,1560,0.98
Be,Beryllium,4,9.0121831,1.85,1560,2742,1.57
B,Boron,5,10.812,2.34,2349,4200,2.04
C,Carbon,6,12.011,2.267,3800,4300,2.55
N,Nitrogen,7,14.007,0.0012506,63.15,77.36,3.04
O,Oxygen,8,15.999,0.001429,54.36,90.2,3.44
F,Fluorine,9,18.99840316,0.001696,53.53,85.03,3.98
Ne,Neon,10,20.1797,0.0008999,24.56,27.07,0
Na,Sodium,11,22.98976928,0.971,370.87,1156,0.93
Mg,Magnesium,12,24.3059,1.738,923,1363,1.31
Al,Aluminium,13,26.9815385,2.698,933.47,2792,1.61
Si,Silicon,14,28.085,2.3296,1687,3538,1.9
P,Phosphorus,15,30.973762,1.82,317.3,550,2.19
S,Sulfur,16,32.06,2.067,388.36,717.87,2.58
Cl,Chlorine,17,35.45,0.003214,171.6,239.11,3.16
Ar,Argon,18,39.948,0.0017837,83.8,87.3,0
K,Potassium,19,39.0983,0.862,336.53,1032,0.82
Ca,Calcium,20,40.078,1.54,1115,1757,1
Sc,Scandium,21,44.955908,2.989,1814,3109,1.36
Ti,Titanium,22,47.867,4.54,1941,3560,1.54
V,Vanadium,23,50.9415,6.11,2183,3680,1.63
Cr,Chromium,24,51.9961,7.15,2180,2944,1.66
Mn,Manganese,25,54.938044,7.44,1519,2334,1.55
Fe,Iron,26,55.845,7.874,1811,3134,1.83
Co,Cobalt,27,58.933194,8.86,1768,3200,1.88
Ni,Nickel,28,58.6934,8.912,1728,3186,1.91
Cu,Copper,29,63.546,8.96,1357.77,2835,1.9
Zn,Zinc,30,65.38,7.134,692.88,1180,1.65
Ga,Gallium,31,69.723,5.907,302.9146,2477,1.81
Ge,Germanium,32,72.63,5.323,1211.4,3106,2.01
As,Arsenic,33,74.921595,5.776,1090,887,2.18
Se,Selenium,34,78.971,4.809,453,958,2.55
Br,Bromine,35,79.9049,3.122,265.8,332,2.96
Kr,Krypton,36,83.798,0.003733,115.79,119.93,3
Rb,Rubidium,37,85.4678,1.532,312.46,961,0.82
Sr,Strontium,38,87.62,2.64,1050,1655,0.95
Y,Yttrium,39,88.90584,4.469,1799,3609,1.22
Zr,Zirconium,40,91.224,6.506,2128,4682,1.33
Nb,Niobium,41,92.90637,8.57,2750,5017,1.6
Mo,Molybdenum,42,95.95,10.22,2896,4912,2.16
Tc,Technetium,43,98,11.5,2430,4538,1.9
Ru,Ruthenium,44,101.07,12.37,2607,4423,2.2
Rh,Rhodium,45,102.9055,12.41,2237,3968,2.28
Pd,Palladium,46,106.42,12.02,1828.05,3236,2.2
Ag,Silver,47,107.8682,10.501,1234.93,2435,1.93
Cd,Cadmium,48,112.414,8.69,594.22,1040,1.69
In,Indium,49,114.818,7.31,429.75,2345,1.78
